Name_Surname,Integrity_Score,Integrity_Reason,Fraction_2019,Committee_Short,Incumbency,Party_Switcher,Region_Origin,From_Center,Gender_Male,Birth_Year,Education_Dummy,Career_Origin,List_Member,Status,Integrity_URL,is_System,is_Business,is_Civil Society,is_Media,is_Military,Career_Complexity,Career_Multi,Age_at_Election,Age_Squared,Political_Experience,Age_Outlier,Macro_Region,From_Occupied,is_Kyiv_Origin
Анатолій Остапенко,0,"No significant criminal investigations, VAKS cases, or major media-led corruption allegations found regarding illicit enrichment or conflicts of interest.",Servant of the People,Social,0,0,Kyiv,1,1,1968,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,51,2601,0,0,Center,0,1
Андрiй Холодов,1,Extensive media investigations (Schemes) documented significant conflicts of interest involving tobacco lobbying (Amendment 1049) and family-owned kiosk networks. Resigned his mandate in 2023 after remaining abroad during the war.,Servant of the People,Finance,0,1,Kyiv,1,1,1972,1,Business,1,Terminated,AI_Verified,0,1,0,0,0,1,0,47,2209,0,0,Center,0,1
Андрій Жупанин,0,"No records of criminal proceedings, NABU/SAP suspicions, or significant corruption-related media investigations (Bihus/Schemes) were identified for this MP.",Servant of the People,Energy,0,0,Zakarpattia,0,1,1989,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,30,900,0,0,West,0,0
Андрій Боблях,0,"No significant corruption-related criminal cases (VAKS), official NABU pidozras, or major investigative journalism reports (Bihus/Schemes) on illicit enrichment were found.",Servant of the People,Humanitarian,0,0,Poltava,0,1,1985,1,"Business, Outsider",0,Active,AI_Verified,0,1,0,0,0,2,1,34,1156,0,0,Center,0,0
Андрій Задорожний,0,"No significant corruption investigations, NABU/SAP proceedings, or documented wealth-gap scandals identified in public monitoring databases like Chesno or investigative media like Bihus.Info.",Servant of the People,Eco,0,0,Kyiv,1,1,1968,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,51,2601,0,0,Center,0,1
Олександр Корнієнко,0,"No significant evidence of criminal cases, NABU investigations, or media investigations regarding illegal enrichment or corruption.",Servant of the People,State Power,0,0,Kyiv,1,1,1984,0,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,35,1225,0,0,Center,0,1
Анастасія Красносільська,0,"No record of criminal convictions, official NABU/SAP suspicions, or major media investigations into personal corruption or illicit enrichment.",Servant of the People,Anti-Corruption,0,0,Kyiv,1,0,1984,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,35,1225,0,0,Center,0,1
Андрій Мотовиловець,1,"Media investigations and NGO reports (Chesno) link him to lobbying in the infrastructure sector and influence over state procurement (Prozorro), though no formal criminal charges (pidozra) have been filed.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1982,1,"System, Business, Civil Society",1,Active,AI_Verified,1,1,1,0,0,3,1,37,1369,0,0,Center,0,1
Ольга Савченко,1,"Featured in media investigations (e.g., Bihus.info, Slidstvo.info) regarding high-value assets and luxury lifestyle not commensurate with previously declared income at the time of election.",Servant of the People,Law Enforcement,0,0,Ivano-Frankivsk,0,0,1989,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,30,900,0,0,West,0,0
Андрій Стріхарський,1,"Documented in media investigations (Chesno, Bihus.info) regarding his construction business interests (Status Group) and potential conflicts of interest related to Kyiv development projects.",Servant of the People,Energy,0,0,Kyiv,0,1,1981,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,Center,0,1
Анна Новосад,0,"No records of criminal proceedings (VAKS), NABU/SAP suspicions, or significant corruption scandals regarding illicit enrichment were identified.",Servant of the People,Humanitarian,0,0,Vinnytsia,0,0,1990,1,System,1,Terminated,AI_Verified,1,0,0,0,0,1,0,29,841,0,0,Center,0,0
Анна Пуртова,1,"Subject of media investigations (e.g., Slidstvo.info) regarding her asset declarations and lifestyle versus declared income, but no criminal charges or VAKS cases.",Servant of the People,Budget,0,0,Dnipro,1,0,1981,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,East,0,0
Анна Скороход,1,"Subject of various media investigations regarding political lobbying and ties to oligarchic interests; expelled from the SN faction following allegations by party leadership of bribery attempts, though no criminal conviction exists.",Servant of the People,Energy,0,1,Kyiv,0,0,1990,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,29,841,0,0,Center,0,1
Андрій Костін,1,Faced media scrutiny and criticism from NGOs like CHESNO and DEJURE during his candidacy for SAPO head regarding potential nepotism (wife and daughter employed as MP assistants) and travel transparency.,Servant of the People,Legal Policy,0,0,Odesa,1,1,1973,1,Business,1,Terminated,AI_Verified,0,1,0,0,0,1,0,46,2116,0,0,South,0,0
Андрій Клочко,2,"In May 2024, NABU and SAP officially notified Klochko of suspicion (pidozra) for illicit enrichment totaling over 70 million UAH, including real estate and luxury vehicles.",Servant of the People,State Power,0,0,Kyiv,1,1,1981,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,Center,0,1
Антон Поляков,0,"No major criminal verdicts, official pidozras from NABU/SAP, or verified media investigations regarding personal enrichment were established before his death; he was primarily known as a whistleblower and for his conflict with the SN leadership.",Servant of the People,Anti-Corruption,0,1,Chernihiv,1,1,1987,1,Business,0,Deceased,AI_Verified,0,1,0,0,0,1,0,32,1024,0,0,North,0,0
Арсеній Пушкаренко,0,"No records of criminal cases (VAKS), NABU pidozras, NAZK protocols, or significant media investigations regarding corruption or illegal enrichment found in public databases.",Servant of the People,Foreign,0,0,Kyiv,0,1,1989,1,"Civil Society, System",1,Active,AI_Verified,1,0,1,0,0,2,1,30,900,0,0,Center,0,1
Артем Дубнов,0,"No significant NABU/SAP investigations, criminal records, or high-level corruption scandals (level 2 or 3) are publicly documented. Generally considered clean in the context of major corruption registries.",Servant of the People,Social,0,0,Kyiv,1,1,1988,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,31,961,0,0,Center,0,1
Андрій Одарченко,3,Arrested and charged by NABU/SAP for attempting to bribe the head of the State Agency for Restoration with Bitcoin. Case sent to VAKS; declared wanted internationally in 2024 after illegally crossing the border.,Servant of the People,Anti-Corruption,0,1,Kharkiv,1,1,1978,1,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,41,1681,0,0,East,0,0
Артем Кунаєв,0,"No significant evidence of criminal proceedings (VAKS), NABU/SAP investigations, or high-profile media scandals regarding personal enrichment or corruption found in public anti-corruption registries.",Servant of the People,Budget,0,0,Dnipro,1,1,1992,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,27,729,0,0,East,0,0
Артем Ковальов,0,"No documented criminal cases (VAKS), NABU/SAP investigations, or major investigative journalism reports (Bihus/Schemes) linking him to corruption or illicit enrichment.",Servant of the People,Humanitarian,0,0,Kyiv,0,1,1984,1,"Media, Business",1,Active,AI_Verified,0,1,0,1,0,2,1,35,1225,0,0,Center,0,1
Артем Чорноморов,1,"Media investigations and NGO monitoring (Chesno) identified him among the wealthy MPs who received state compensation for housing, which is considered a conflict of interest or moral-ethical corruption.",Servant of the People,Agrarian,0,0,Mykolaiv,1,1,1988,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,31,961,0,0,South,0,0
Артем Нагаєвський,0,"No evidence of official corruption charges (NABU/SAP), VAKS cases, or major media investigations into illicit enrichment found.",Servant of the People,Agrarian,0,0,Kyiv,1,1,1983,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,Center,0,1
Богдан Яременко,0,"No significant evidence of criminal corruption (VAKS), official charges (NABU), or media investigations into illicit enrichment found; most public scandals relate to personal conduct rather than financial integrity.",Servant of the People,Foreign,0,0,Kyiv,1,1,1971,0,"System, Civil Society",0,Active,AI_Verified,1,0,1,0,0,2,1,48,2304,0,0,Center,0,1
Богдан Кицак,0,"No public records found of VAKS cases, NABU pidozras, or major investigative journalism reports linking him to high-level corruption.",Servant of the People,Finance,0,0,Zhytomyr,0,1,1992,0,System,0,Active,AI_Verified,1,0,0,0,0,1,0,27,729,0,0,Center,0,0
Артем Дмитрук,2,"In August 2024, the Prosecutor General's Office served him with a notice of suspicion (pidozra) for attacks on a law enforcement officer and a soldier. He fled Ukraine and was subsequently declared wanted.",Servant of the People,Law Enforcement,0,1,Odesa,1,1,1989,1,Business,0,Terminated,AI_Verified,0,1,0,0,0,1,0,30,900,0,0,South,0,0
Вадим Струневич,1,"Mentioned in investigative media reports regarding business links to the construction lobby and potential conflicts of interest, though no formal criminal proceedings are active.",Servant of the People,Social,0,0,Kyiv,1,1,1982,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,37,1369,0,0,Center,0,1
Артем Культенко,1,Investigations by Bihus.info and Slidstvo.info link him to the controversial 'kiosk' (MAF) business in Kyiv and identify him as a lobbyist for those interests within the party; also cited for opaque party donations.,Servant of the People,Rules,0,0,Kyiv,1,1,1984,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,35,1225,0,0,Center,0,1
Валерій Божик,0,"No records of NABU/SAP investigations, VAKS cases, or significant media-led corruption allegations found in public databases like Chesno or investigative outlets.",Servant of the People,Legal Policy,0,0,Chernivtsi,0,1,1971,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,48,2304,0,0,West,0,0
Вікторія Вагнєр,0,"No major corruption scandals, NABU/SAP investigations, or significant media-led enrichment exposes found in public records.",Servant of the People,Social,0,0,Kherson,1,0,1981,0,System,0,Active,AI_Verified,1,0,0,0,0,1,0,38,1444,0,0,South,0,0
Валерій Стернійчук,0,"No formal criminal investigations by VAKS/NABU, no official pidozra, or documented media scandals regarding personal illicit enrichment or conflict of interest.",Servant of the People,Anti-Corruption,0,0,Volyn,1,1,1981,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,West,0,0
Вікторія Кінзбурська,1,Subject of media investigations regarding the purchase of luxury assets (Jaguar car) and her voting patterns which journalists linked to the interests of Ihor Kolomoisky.,Servant of the People,Finance,0,0,Kharkiv,1,0,1980,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,39,1521,0,0,East,0,0
Віталій Безгін,2,Notified of suspicion (pidozra) by the State Bureau of Investigation (SBI) in early 2024 concerning property transactions and a power of attorney involving a relative in occupied Crimea.,Servant of the People,State Power,0,0,Kyiv,1,1,1990,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,29,841,0,0,Center,0,1
Артем Михайлюк,0,"No documented criminal records, VAKS cases, NABU investigations, or major media-led corruption investigations (such as Bihus.Info or Schemes) identified.",Servant of the People,Law Enforcement,0,0,Kyiv,1,1,1989,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,30,900,0,0,Center,0,1
Владислав Бородін,1,Identified by Chesno and Nashi Groshi as a subject of media investigations regarding potential conflicts of interest and tender irregularities related to road construction companies linked to his business associates.,Servant of the People,Law Enforcement,0,0,Dnipro,0,1,1971,1,"System, Business",0,Active,AI_Verified,1,1,0,0,0,2,1,48,2304,0,0,East,0,0
Владислав Криклій,1,"Multiple media investigations (e.g. Bihus.info) regarding his lifestyle, undeclared property, and alleged involvement in car certification schemes during his tenure in the Ministry of Internal Affairs and later as Minister.",Servant of the People,Transport,0,0,Kyiv,1,1,1986,1,"Business, System",1,Terminated,AI_Verified,1,1,0,0,0,2,1,33,1089,0,0,Center,0,1
Володимир Ватрас,1,"Investigative media outlets and monitoring groups like Chesno highlighted that Vatras received state compensation for housing despite his family owning significant real estate, which is categorized as a media-level controversy regarding enrichment.",Servant of the People,Legal Policy,0,0,Khmelnytskyi,1,1,1980,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,39,1521,0,0,Other,0,0
Ренат Кузьмін,3,Stripped of Ukrainian citizenship and parliamentary mandate in January 2023. He is under investigation for high treason by the SBI and was involved in multiple corruption-related scandals during his tenure in the Prosecutor General's Office.,Opposition Platform — For Life,Legal Policy,0,1,Donetsk,1,1,1967,1,System,1,Terminated,AI_Verified,1,0,0,0,0,1,0,52,2704,0,0,East,1,0
Володимир Воронов,0,"No significant corruption cases, NABU/SAP investigations, or NAZK protocols found in public records.",Servant of the People,Humanitarian,0,0,Dnipro,1,1,1978,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,41,1681,0,0,East,0,0
Володимир Гевко,2,"In February 2023, NABU and SAP notified Hevko of a suspicion (pidozra) regarding the intentional omission of a rental apartment in Kyiv from his 2020 electronic declaration. The High Anti-Corruption Court (VAKS) later closed the proceedings due to the expiration of the statute of limitations.",Servant of the People,Budget,0,0,Ternopil,0,1,1975,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,44,1936,0,0,West,0,0
Владлен Неклюдов,0,"No formal criminal convictions, NABU/SAP suspects (pidozry), or high-profile corruption-related VAKS cases identified in public records or anti-corruption watchlists like Chesno.",Servant of the People,Law Enforcement,0,0,Dnipro,0,1,1973,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,46,2116,0,0,East,0,0
Володимир Козак,0,"No evidence of VAKS cases, NABU pidozra, or major investigative journalism reports regarding illicit enrichment or criminal corruption found in public records.",Servant of the People,Transport,0,0,Kyiv,0,1,1984,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,35,1225,0,0,Center,0,1
Володимир Іванов,0,"No major criminal cases, NABU investigations, or significant corruption scandals reported in public databases like Chesno or media outlets like Bihus.Info.",Servant of the People,Eco,0,0,Kherson,1,1,1982,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,37,1369,0,0,South,0,0
Володимир Крейденко,2,"In May 2024, NABU and SAP notified Kreidenko of suspicion (pidozra) regarding the illegal receipt of housing compensation for an apartment while his father owned a residence in Kyiv.",Servant of the People,Transport,0,0,Zaporizhzhia,0,1,1987,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,32,1024,0,0,East,0,0
Володимир Захарченко,0,"No record of VAKS cases, NABU suspicions, or major media investigations regarding corruption or enrichment found in open public registries (Chesno, Bihus.info).",Servant of the People,Law Enforcement,0,0,Dnipro,0,1,1971,1,"System, Business",0,Active,AI_Verified,1,1,0,0,0,2,1,48,2304,0,0,East,0,0
Галина Третьякова,0,"Despite significant public and ethical controversies regarding her statements, there are no active NABU/SAP criminal proceedings or high-profile media investigations (like Bihus.info or Schemes) documenting illegal enrichment or financial corruption.",Servant of the People,Social,0,0,Kharkiv,1,0,1963,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,56,3136,0,0,East,0,0
Вячеслав Рубльов,0,"No evidence found of VAKS criminal cases, NABU/SAP investigations (pidozras), or major investigative journalism reports regarding personal enrichment or illicit assets.",Servant of the People,Budget,0,0,Volyn,1,1,1979,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,40,1600,0,0,West,0,0
Галина Михайлюк,0,"No records of criminal investigations, VAKS cases, or significant corruption scandals identified in public databases or investigative reports.",Servant of the People,Law Enforcement,0,0,Kyiv,1,0,1987,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,32,1024,0,0,Center,0,1
Ганна Бондар,0,"No records of criminal proceedings, NABU suspicions, or significant investigations into illicit enrichment found; she is known for opposing controversial urban planning legislation often linked to corruption.",Servant of the People,State Power,0,0,Kyiv,1,0,1975,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,44,1936,0,0,Center,0,1
Гео Лерос,1,"Subject of various media investigations and criminal proceedings by the State Bureau of Investigation (SBI) concerning potential tax evasion and the origin of his personal assets, though many are viewed as politically motivated.",Servant of the People,Humanitarian,0,1,Kyiv,1,1,1989,1,Media,1,Active,AI_Verified,0,0,0,1,0,1,0,30,900,0,0,Center,0,1
Ганна Лiчман,0,"Hanna Lichman has no recorded criminal proceedings in the High Anti-Corruption Court (VAKS), no official suspicions from NABU/SAP, and no major investigative media dossiers (like Bihus.info or Schemes) focusing on illicit enrichment or significant conflicts of interest.",Servant of the People,Finance,0,0,Odesa,1,0,1978,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,41,1681,0,0,South,0,0
Геннадій Касай,1,Journalistic investigations by Bihus.Info and other outlets highlighted his and his brother's (Pavlo Kasai) links to the Boguslayev/Motor Sich scandal and alleged involvement in defense-related procurement schemes.,Servant of the People,Defense,0,0,Zaporizhzhia,1,1,1972,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,47,2209,0,0,East,0,0
Георгій Мазурашу,0,"No official criminal proceedings, NABU pidozras, or major investigative journalism reports (e.g., Bihus.info) regarding illicit enrichment were identified, although he is frequently criticized for legislative populism.",Servant of the People,Humanitarian,0,0,Chernivtsi,0,1,1971,0,"Media, System",0,Active,AI_Verified,1,0,0,1,0,2,1,48,2304,0,0,West,0,0
Денис Герман,0,"No official NABU suspicion, VAKS cases, or widely documented major corruption-related media investigations (like Bihus/Schemes specifically for enrichment) found in the public domain for this MP.",Servant of the People,Budget,0,0,Dnipro,1,1,1981,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,East,0,0
Дар‘я Володіна,1,"Volodina was involved in the 2019 corruption scandal concerning the Finance Committee's vote on 'electronic platforms' linked to Anton Yatsenko, which led to polygraph tests for 11 MPs after media reports of alleged bribery.",Servant of the People,Finance,0,0,Kropyvnytskyi,1,0,1991,0,"Media, Business",1,Active,AI_Verified,0,1,0,1,0,2,1,28,784,0,0,Center,0,0
Денис Маслов,0,"No significant corruption allegations, VAKS cases, or NABU investigations found; generally regarded as a professional legal expert within the faction.",Servant of the People,Legal Policy,0,0,Dnipro,1,1,1983,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,36,1296,0,0,East,0,0
Вікторія Подгорна,0,"No records of criminal proceedings, NABU suspicions, or significant corruption investigations (Bihus, Schemes) were found in public databases or watchdog reports.",Servant of the People,State Power,0,0,Kyiv,1,0,1969,1,"Civil Society, Outsider",1,Active,AI_Verified,0,0,1,0,0,2,1,50,2500,0,0,Center,0,1
Денис Монастирський,0,"No recorded criminal verdicts, NABU suspicions (pidozra), or documented investigations regarding personal corruption or illegal enrichment.",Servant of the People,Law Enforcement,0,0,Khmelnytskyi,1,1,1980,1,"Civil Society, System",1,Deceased,AI_Verified,1,0,1,0,0,2,1,39,1521,0,0,Other,0,0
Дмитро Кисилевський,0,"No records of criminal proceedings (VAKS), NABU/SAP investigations, or major media scandals involving personal corruption or illegal enrichment.",Servant of the People,Eco,0,0,Dnipro,1,1,1983,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,East,0,0
Дмитро Гурін,0,"No record of criminal proceedings, official NABU/SAP charges, or significant media investigations regarding personal corruption or illicit enrichment.",Servant of the People,State Power,0,0,Kyiv,1,1,1982,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,37,1369,0,0,Center,0,1
Дмитро Костюк,0,"No formal criminal charges (VAKS), NABU suspects, or verified enrichment investigations. He underwent a voluntary polygraph test in 2019 regarding potential bribes in the Finance Committee but was not charged.",Servant of the People,Agrarian,0,0,Zhytomyr,0,1,1993,0,Media,0,Active,AI_Verified,0,0,0,1,0,1,0,26,676,0,0,Center,0,0
Галина Янченко,0,"No criminal cases, NABU investigations, or significant media corruption scandals identified; previously headed the Anti-Corruption Headquarters NGO.",Servant of the People,Anti-Corruption,0,0,Kyiv,1,0,1988,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,31,961,0,0,Center,0,1
Дмитро Любота,0,"No major corruption investigations, criminal cases (NABU/VAKS), or significant integrity violations reported in CHESNO or investigative media.",Servant of the People,Energy,0,0,Kharkiv,0,1,1981,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,East,0,0
Дмитро Нальотов,0,"No major NABU criminal cases, official suspicions, or high-profile investigative journalism reports (Bihus/Schemes) documenting specific corruption or illicit enrichment.",Servant of the People,Humanitarian,0,0,Poltava,1,1,1985,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,34,1156,0,0,Center,0,0
Дмитро Наталуха,0,"No major corruption investigations from NABU, SAP, or specific enrichments scandals reported by investigative media like Bihus.Info or Schemes.",Servant of the People,Finance,0,0,Kyiv,1,1,1987,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,32,1024,0,0,Center,0,1
Дмитро Соломчук,1,"Reported by Chesno for non-personal voting (knopkodavstvo) in September 2019, which is a violation of parliamentary integrity but does not carry a criminal verdict or official NABU pidozra.",Servant of the People,Agrarian,0,0,Rivne,1,1,1980,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,39,1521,0,0,Other,0,0
Дмитро Чорний,1,"In 2019, he was among the MPs of the Finance Committee investigated by media and SAP for potentially receiving bribes regarding the abolition of corruption schemes in the valuation of real estate (the 'Yatsenko pads' case).",Servant of the People,Finance,0,0,Dnipro,0,1,1989,0,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,30,900,0,0,East,0,0
Едуард Прощук,1,Media investigations and civic monitors like Chesno have highlighted potential conflicts of interest regarding his family's business involvement in the waste management and energy sectors while serving on the Environmental Policy Committee.,Servant of the People,Eco,0,0,Ivano-Frankivsk,0,1,1983,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,West,0,0
Євген Петруняк,1,Identified by NGOs (Chesno) as being involved in the 'valuation platforms' corruption scandal in 2019 and accused of lobbying for tobacco industry interests through legislative amendments.,Servant of the People,Finance,0,0,Lviv,1,1,1977,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,42,1764,0,0,West,0,0
Елла Рєпіна,1,"In October 2019, she was among 11 MPs of the Finance Committee suspected of receiving bribes related to electronic platforms (the Yatsenko platforms case), which led to a highly publicized polygraph test; however, no formal criminal charges were proven.",Servant of the People,Finance,0,0,Donetsk,1,0,1973,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,46,2116,0,0,East,1,0
Євген Пивоваров,2,"In November 2023, NABU and SAP notified Pyvovarov of suspicion (pidozra) for attempting to bribe the head of the State Agency for Reconstruction (Mustafa Nayyem) with cryptocurrency (Bitcoin).",Servant of the People,Energy,0,0,Kharkiv,1,1,1978,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,41,1681,0,0,East,0,0
Євгеній Брагар,0,"While involved in various public scandals (e.g., 'selling a dog for gas'), there are no documented NABU/VAKS cases, official corruption charges, or confirmed investigations regarding unexplained enrichment.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1994,0,Outsider,1,Active,AI_Verified,0,0,0,0,0,1,0,25,625,0,0,Center,0,1
Єгор Чернєв,0,"No records of criminal investigations (VAKS), NABU suspicions, or significant corruption-related investigations from investigative outlets like Bihus.Info or Schemes have been identified for this MP.",Servant of the People,Defense,0,0,Zaporizhzhia,0,1,1985,1,"Business, Military, Civil Society",1,Active,AI_Verified,0,1,1,0,1,3,1,34,1156,0,0,East,0,0
Євгеній Шевченко,1,"While he was arrested and placed in SIZO in November 2024 for high treason, the corruption-specific score is 1 based on NAZK findings of discrepancies in his 2020 asset declaration and various media investigations (e.g., Bihus.info) regarding his business interests and unexplained enrichment.",Servant of the People,Finance,0,1,Zaporizhzhia,1,1,1983,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,East,0,0
Єлизавета Ясько,0,"No records of criminal verdicts, VAKS cases, NABU pidozras, or major corruption-related investigations by investigative journalists are linked to her.",Servant of the People,Foreign,0,0,Kyiv,1,0,1990,1,"Civil Society, Media",1,Active,AI_Verified,0,0,1,1,0,2,1,29,841,0,0,Center,0,1
Єлізавета Богуцька,0,"No formal criminal proceedings, VAKS cases, or NAZK protocols for corruption/unlawful enrichment have been documented in monitoring databases like Chesno.",Servant of the People,Humanitarian,0,0,Crimea,1,0,1964,0,"Civil Society, Media",1,Active,AI_Verified,0,0,1,1,0,2,1,55,3025,0,0,South,1,0
Денис Малюська,0,"No criminal verdicts, formal NABU/SAP pidozras, or significant media investigations regarding illicit enrichment or corruption were identified during his tenure.",Servant of the People,Legal Policy,0,0,Khmelnytskyi,0,1,1981,1,"Business, Civil Society",1,Terminated,AI_Verified,0,1,1,0,0,2,1,38,1444,0,0,Other,0,0
Дмитро Микиша,0,"No high-profile criminal cases, NABU pidozras, or significant media investigations into illicit enrichment found; maintains a clean profile regarding VAKS proceedings.",Servant of the People,State Power,0,0,Kharkiv,0,1,1988,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,31,961,0,0,East,0,0
Зіновій Андрійович,0,"No criminal cases, VAKS proceedings, or documented corruption-related NABU investigations found during his parliamentary tenure.",Servant of the People,Budget,0,0,Ivano-Frankivsk,0,1,1972,1,System,0,Terminated,AI_Verified,1,0,0,0,0,1,0,47,2209,0,0,West,0,0
Ігор Василів,0,"No significant criminal convictions, NABU/SAP investigations, or high-profile corruption scandals identified in investigative media like Bihus.info or Schemes.",Servant of the People,Transport,0,0,Ternopil,1,1,1979,1,"Business, Civil Society",0,Active,AI_Verified,0,1,1,0,0,2,1,40,1600,0,0,West,0,0
Іван Шинкаренко,1,"Identified by monitoring organizations such as Chesno and media investigations regarding legislative lobbying linked to the tobacco industry, which constitutes a potential conflict of interest/integrity concern.",Servant of the People,Anti-Corruption,0,0,Kyiv,1,1,1986,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,33,1089,0,0,Center,0,1
Ігор Копитін,0,"No major corruption-related criminal cases, official NABU charges, or significant media investigations into enrichment or conflict of interest were found.",Servant of the People,Defense,0,0,Mykolaiv,1,1,1981,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,South,0,0
Ігор Васильєв,0,"No significant records of criminal cases, NABU investigations, or high-profile media scandals regarding corruption or unexplained wealth.",Servant of the People,Humanitarian,0,0,Poltava,1,1,1984,0,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,35,1225,0,0,Center,0,0
Ігор Кривошеєв,0,"No significant evidence of criminal proceedings, NABU/SAP suspicions, or confirmed investigations into illegal enrichment/corruption found in public records or major media investigations.",Servant of the People,Eco,0,1,Zakarpattia,1,1,1985,0,"Business, Outsider",1,Active,AI_Verified,0,1,0,0,0,2,1,34,1156,0,0,West,0,0
Іван Калаур,0,"No record of corruption investigations, NABU/SAP proceedings, or significant integrity scandals found in investigative databases such as Bihus.Info, Schemes, or the Chesno movement.",Servant of the People,Legal Policy,0,0,Ternopil,0,1,1968,1,Outsider,1,Active,AI_Verified,0,0,0,0,0,1,0,51,2601,0,0,West,0,0
Ігор Негулевський,2,"In early 2024, NABU and SAP notified the MP of a suspicion (pidozra) regarding an attempt to bribe the Minister of Infrastructure.",Servant of the People,Transport,0,0,Mykolaiv,0,1,1983,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,South,0,0
Ігор Марчук,0,"No significant corruption investigations, NABU/SAP charges, or major investigative media scandals involving illicit enrichment or conflicts of interest have been documented for this MP.",Servant of the People,Finance,0,0,Khmelnytskyi,0,1,1971,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,48,2304,0,0,Other,0,0
Ірина Борзова,1,"Journalistic investigations (e.g., Slidstvo.info) highlighted her ownership of a restaurant business in Crimea (Profile-N) that was re-registered under Russian law after the 2014 occupation.",Servant of the People,Humanitarian,0,0,Vinnytsia,1,0,1982,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,37,1369,0,0,Center,0,0
Ірина Венедіктова,1,Faced media investigations by BIHUS.info and Schemes regarding the non-declaration of luxury property (Hublot watches) and the use of government residences (Pushcha-Vodytsya) at undervalued rates.,Servant of the People,Legal Policy,0,0,Kharkiv,1,0,1978,1,System,1,Terminated,AI_Verified,1,0,0,0,0,1,0,41,1681,0,0,East,0,0
